time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score
0,0,0,0,0,N/A,darkslategray,"(54.27329327760362, 52.192920585161964, 54.97544409613375)","(85.4599442702891, 84.37025426680599, 91.08777429467085)","(21.196621386276558, 16.00835945663532, 15.315743643329851)","(87.46516893068618, 87.9745733194009, 94.16910484151863)","(22.97143852316266, 20.41849529780564, 19.329153605015673)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(53.91467304625199, 51.22033492822967, 52.807137161084526)","(85.30223285486443, 84.89282296650718, 90.72583732057416)","(20.66602870813397, 15.102232854864434, 11.471291866028707)","(89.04226475279107, 87.46315789473684, 94.0030303030303)","(20.648165869218502, 17.423125996810207, 15.028389154704945)",90,0,0.994140625
0,0,0,0,0,N/A,darkslategray,"(48.114372469635626, 43.69244264507422, 44.0891363022942)","(70.96549372613202, 68.21031096563011, 71.44380796508456)","(25.728177850518275, 17.478041462084015, 12.631751227495908)","(74.27270299145299, 71.98717948717949, 76.45379273504274)","(21.50080128205128, 17.05889423076923, 15.741720085470085)",90,0,0.96044921875
0,0,0,0,0,N/A,darkslategray,"(46.316989927578454, 41.7035433835567, 42.27489663975138)","(68.87940714125308, 66.33078823265214, 69.84953963620032)","(28.489795918367346, 19.627300100368014, 16.75565964090554)","(67.68868758285461, 65.3406981882457, 69.31153336279276)","(20.582839587447882, 15.882159315339038, 13.584485407066053)",90,0,0.8154296875
0,0,0,0,0,N/A,black,"(37.873268219383924, 32.3151615326822, 32.360390683696465)","(50.38795620437956, 45.8507299270073, 47.330170316301704)","(29.044444444444444, 19.52657004830918, 17.454347826086956)","(50.19911451477803, 46.767619959315546, 49.00251286346775)","(22.100498930862436, 17.32917557614635, 15.88287004038964)",90,0,0.85986328125
0,0,0,0,0,N/A,black,"(37.873268219383924, 32.3151615326822, 32.360390683696465)","(50.38795620437956, 45.8507299270073, 47.330170316301704)","(29.044444444444444, 19.52657004830918, 17.454347826086956)","(50.19911451477803, 46.767619959315546, 49.00251286346775)","(22.100498930862436, 17.32917557614635, 15.88287004038964)",90,0,0
0,0,0,0,0,N/A,darkslategray,"(62.69714587737843, 61.73890063424947, 63.460359408033824)","(92.97934322033899, 93.93697033898304, 100.71927966101696)","(32.175632911392405, 29.841244725738395, 27.429852320675106)","(91.67849576271186, 92.06091101694915, 98.23252118644068)","(34.20516877637131, 31.380274261603375, 27.763713080168777)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(63.62696734789758, 61.469579516091144, 66.79351656095842)","(95.1939736346516, 96.28860640301318, 104.98634651600753)","(32.857477730895454, 28.132676980778246, 29.63384903891233)","(91.80885122410547, 93.53201506591337, 102.03813559322033)","(34.89967182372246, 28.207219878105953, 30.82559774964838)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(64.42747844827586, 60.652262931034485, 64.84170258620689)","(95.21594827586208, 94.10689655172413, 102.25689655172414)","(33.73965517241379, 27.961206896551722, 27.93448275862069)","(93.09094827586208, 91.58577586206897, 100.25344827586207)","(35.66336206896552, 28.955172413793104, 28.92198275862069)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(63.87033988573642, 60.48871889222427, 64.46451050643942)","(94.02922077922078, 93.39042207792208, 100.78368506493507)","(34.05616161616162, 28.88888888888889, 28.385858585858585)","(93.00967261904762, 91.29241071428571, 99.7172619047619)","(34.66740740740741, 28.762592592592593, 29.295925925925925)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(64.87616822429906, 63.24496203271028, 66.38653621495327)","(99.43049065420561, 99.60309579439253, 107.4088785046729)","(29.11068925233645, 28.628504672897197, 26.55607476635514)","(98.93516355140187, 97.97575934579439, 105.1953855140187)","(32.02832943925234, 26.77248831775701, 26.385806074766354)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(65.1193522906793, 64.1047393364929, 68.26453396524487)","(104.12322274881517, 104.26540284360189, 112.89447077409163)","(27.025908372827804, 25.162717219589258, 24.707109004739337)","(101.09605055292259, 102.05781990521326, 110.84865718799368)","(28.232227488151658, 24.93301737756714, 24.60789889415482)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(64.61733470366563, 64.28114651136234, 67.86502226789996)","(103.58150183150182, 104.0885989010989, 111.92673992673993)","(24.26930963773069, 24.208020050125313, 22.916154021417178)","(103.67376373626374, 104.17261904761905, 112.23191391941391)","(27.318067897015265, 25.036682615629985, 24.808384597858282)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(65.29577978306445, 63.435466229149576, 68.32604138182481)","(103.13359345968041, 103.70958751393535, 112.86696395392048)","(25.15347454477889, 22.208844295800816, 22.330917874396135)","(103.28323492574701, 103.46358919305779, 112.86169261048488)","(29.527464662730363, 24.324566112005726, 25.19073179459653)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(61.51065668202765, 60.15754608294931, 63.571620583717355)","(102.83006912442396, 103.20910138248848, 111.30049923195085)","(16.893625192012287, 14.255568356374807, 11.557603686635945)","(102.7160138248848, 102.67684331797236, 111.50460829493088)","(23.602918586789553, 20.488671274961597, 19.923771121351766)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(62.1294082781784, 60.61083670848563, 63.566926800355624)","(102.92710430930326, 102.58699154248893, 110.22231171969392)","(18.349174385823602, 15.092025775271848, 12.87494965767217)","(102.83750242388986, 103.08376963350786, 110.84390149311615)","(24.293387628466164, 21.549350397517937, 20.17704091526081)",90,0,0.9970703125
0,0,0,0,0,N/A,darkslategray,"(52.9080265464563, 51.187014775857755, 54.55885299273729)","(71.98794575590156, 70.95554997488699, 76.58890005022602)","(28.50024975024975, 26.66033966033966, 27.727772227772228)","(79.48543445504771, 79.17478653942743, 84.87845303867404)","(31.90934065934066, 28.21978021978022, 29.32792207792208)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(54.62065566967528, 52.968668949061104, 56.36673928830792)","(84.13420724094881, 83.22076570952976, 90.83104452767374)","(21.222429133043658, 16.828677839851025, 17.403889923442996)","(88.06471077819393, 88.88597586350396, 94.39991677070329)","(25.412993999586178, 23.30891785640389, 23.237119801365612)",90,0,0.9912109375
0,0,0,0,0,N/A,darkslategray,"(55.10542514345331, 53.39713093375065, 56.81935315597288)","(83.27558066541117, 83.18937016112157, 88.80916509730069)","(29.123179359134415, 23.792134831460675, 23.878277153558052)","(90.00230173676502, 90.00523121992049, 96.46620631931367)","(18.374947981689555, 16.974823137744487, 18.526217228464418)",90,0,0.99609375
0,0,0,0,0,N/A,darkslategray,"(56.63554485464598, 54.712413055109685, 58.53433208489388)","(85.79159115621601, 85.44436389996376, 91.89960130482059)","(29.205146792316057, 22.825117796303008, 24.6339253352664)","(91.48384831460675, 90.48858848314607, 97.01632724719101)","(20.115519662921347, 20.055477528089888, 20.57075140449438)",90,0,0.9931640625
0,0,0,0,0,N/A,darkslategray,"(70.23699662840474, 69.4162973065121, 74.76088191839982)","(115.44513042136133, 115.1467819107887, 124.10541750270103)","(21.37327188940092, 20.185867895545314, 21.68172043010753)","(112.63621411483254, 113.22323564593302, 123.00717703349282)","(31.789583333333333, 29.419494047619047, 30.589880952380952)",90,0,1.0
